month,bucket,bucket_type,tx_count
2012-02-01,$0.003-$0.0045,usd,11
2012-02-01,$0.0045-$0.007,usd,3
2012-02-01,$0.007-$0.01,usd,6
2012-02-01,$0.01-$0.15,usd,7
2012-03-01,0,sats,126775
2012-03-01,0-2,sats,490
2012-03-01,100-130,sats,7725
2012-03-01,12-18,sats,188
2012-03-01,130-170,sats,769
2012-03-01,170-220,sats,34874
2012-03-01,18-24,sats,186
2012-03-01,2-4,sats,72
2012-03-01,220-350,sats,9243
2012-03-01,24-30,sats,122
2012-03-01,30-40,sats,588
2012-03-01,350-600,sats,872
2012-03-01,4-6,sats,41
2012-03-01,40-50,sats,142
2012-03-01,50-60,sats,3003
2012-03-01,6-9,sats,56
2012-03-01,60-80,sats,4251
2012-03-01,600+,sats,4570
2012-03-01,80-100,sats,4650
2012-03-01,9-12,sats,105
2012-03-01,$0,usd,126775
2012-03-01,$0-$0.00005,usd,67752
2012-03-01,$0.00005-$0.00008,usd,984
2012-03-01,$0.00008-$0.0001,usd,391
2012-03-01,$0.0001-$0.00015,usd,754
2012-03-01,$0.00015-$0.0002,usd,1002
2012-03-01,$0.0002-$0.00025,usd,715
2012-03-01,$0.00025-$0.0003,usd,75
2012-03-01,$0.0003-$0.0004,usd,76
2012-03-01,$0.0004-$0.0005,usd,28
2012-03-01,$0.0005-$0.00065,usd,32
2012-03-01,$0.00065-$0.0009,usd,23
2012-03-01,$0.0009-$0.001,usd,22
2012-03-01,$0.001-$0.0015,usd,27
2012-03-01,$0.0015-$0.002,usd,23
2012-03-01,$0.002-$0.003,usd,22
2012-03-01,$0.003-$0.0045,usd,9
2012-03-01,$0.0045-$0.007,usd,7
2012-03-01,$0.007-$0.01,usd,2
2012-03-01,$0.01-$0.15,usd,2
2012-03-01,$0.15+,usd,1
2012-04-01,0,sats,127440
2012-04-01,0-2,sats,529
2012-04-01,100-130,sats,10052
2012-04-01,12-18,sats,196
2012-04-01,130-170,sats,2198
2012-04-01,170-220,sats,45894
2012-04-01,18-24,sats,201
2012-04-01,2-4,sats,60
2012-04-01,220-350,sats,13295
2012-04-01,24-30,sats,166
2012-04-01,30-40,sats,736
2012-04-01,350-600,sats,1211
2012-04-01,4-6,sats,56
2012-04-01,40-50,sats,283
2012-04-01,50-60,sats,3373
2012-04-01,6-9,sats,64
2012-04-01,60-80,sats,4632
2012-04-01,600+,sats,5071
2012-04-01,80-100,sats,5430
2012-04-01,9-12,sats,100
2012-04-01,$0,usd,127440
2012-04-01,$0-$0.00005,usd,88782
2012-04-01,$0.00005-$0.00008,usd,1011
2012-04-01,$0.00008-$0.0001,usd,549
2012-04-01,$0.0001-$0.00015,usd,773
2012-04-01,$0.00015-$0.0002,usd,951
2012-04-01,$0.0002-$0.00025,usd,827
2012-04-01,$0.00025-$0.0003,usd,116
2012-04-01,$0.0003-$0.0004,usd,78
2012-04-01,$0.0004-$0.0005,usd,251
